id,image_url,character_name,character_traits,character_role,plot_lines
15,https://cdn.midjourney.com/2ea17ddd-6e28-42ea-8d8b-f80e3ccc6348/0_1.png,Skyler,"[""adventurous"", ""fearless"", ""resourceful"", ""curious"", ""loyal""]",hero,"[""Skyler discovers a hidden city conspiracy involving the squirrels."", ""Skyler helps the Yorkies solve a mystery in the city."", ""Skyler returns to the forest homestead with new urban survival skills."", ""Skyler forms an alliance with city birds to help the Yorkies."", ""Skyler must navigate a city filled with robotic guards.""]"
14,https://cdn.midjourney.com/05d763fc-21f0-4ca6-8a13-d2cc1ed2513a/0_3.png,Professor Pawbridge,"[""intelligent"", ""curious"", ""resourceful"", ""wise"", ""kind-hearted""]",hero,"[""Discovers an ancient map leading to a hidden treasure in the forest."", ""Invents a new device to protect the homestead from squirrel raids."", ""Solves the mystery of the disappearing eggs with his analytical skills."", ""Helps the Yorkies understand an ancient book they found in the woods."", ""Teams up with Pawel and Pawleen to outsmart the Rat Wizard.""]"
6,https://cdn.midjourney.com/35ed7155-c07a-4e15-bbf7-87071c6b8cd1/0_0.png,King Pawlence the Regal,,Hero,
9,https://cdn.midjourney.com/caaa72a7-29d8-440c-9b81-cd017f99789d/0_0.png,Tiny Paws,,Hero,"[""Tiny Paws discovers a hidden passageway in the forest leading to a secret squirrel hideout."", ""The Yorkies enlist Tiny Paws to help them retrieve a stolen egg from the Rat Wizard."", ""Tiny Paws leads a mission to rescue a turkey stuck in the fence."", ""Pawel and Pawleen train Tiny Paws to be the newest protector of the homestead."", ""Tiny Paws uncovers a secret map that leads to a hidden treasure within the pasture.""]"
20,https://cdn.midjourney.com/7b68fab2-6d5f-4ab3-abcd-9f5cbca8e0d7/0_2.png,Squeaky McSnarl,"[""cunning"", ""mischievous"", ""arrogant"", ""devious"", ""agile""]",villain,"[""Squeaky McSnarl leads an army of squirrels to invade the chicken coop."", ""Pawel and Pawleen strategize to outsmart Squeaky in a walnut heist."", ""The Rat Wizard forms an uneasy alliance with Squeaky for a powerful potion."", ""A truce is suggested between Squeaky and the Yorkies to fight a common threat."", ""Squeaky McSnarl searches for a mysterious treasure hidden within the forest.""]"
23,https://cdn.midjourney.com/861db1bd-2d90-4561-949a-981128a6afa5/0_3.png,Shadowtail,"[""cunning"", ""malevolent"", ""strategic"", ""agile"", ""deceptive""]",villain,"[""Shadowtail leads a gang of squirrels planning a heist on the homestead's food supply."", ""Pawel and Pawleen must outsmart Shadowtail to retrieve stolen goods."", ""Shadowtail creates traps for the Yorkies in the forest."", ""The chickens enlist Pawel and Pawleen's help to deal with Shadowtail's constant harassment."", ""Shadowtail's activities catch the attention of the mysterious Rat Wizard, leading to an unexpected alliance.""]"
32,https://cdn.midjourney.com/8f2ed16f-e3e0-4e25-af8d-bca6fba28d39/0_0.png,Buckley,"[""gentle"", ""observant"", ""curious"", ""graceful"", ""thoughtful""]",neutral,"[""Buckley helps the Yorkies find a secret path through the forest."", ""Buckley warns the forest animals of an upcoming storm."", ""Buckley gets entangled with the squirrel gang's schemes but seeks Pawel and Pawleen's help."", ""Buckley discovers a hidden glade with unique herbs."", ""Buckley assists in evading the Rat Wizard's traps.""]"
21,https://cdn.midjourney.com/8c99fce9-1cb5-41da-bd57-28f7e0bc4cd7/0_1.png,Slink the Squirrel,"[""cunning"", ""mischievous"", ""sly"", ""quick-witted"", ""arrogant""]",villain,"[""Slink leads a gang of squirrels to raid the chicken coop."", ""Pawel and Pawleen devise a plan to outsmart Slink."", ""Slink discovers a hidden stash of food and plans to steal it."", ""Slink challenges the Yorkies to a game of wits."", ""A rare truce is formed between the Yorkies and Slink to fend off the Rat Wizard.""]"
33,https://cdn.midjourney.com/8f2ed16f-e3e0-4e25-af8d-bca6fba28d39/0_1.png,Darla the Deer,"[""gentle"", ""curious"", ""swift"", ""observant"", ""kind-hearted""]",hero,"[""Darla discovers a hidden path in the forest that leads to a magical clearing."", ""She befriends Pawel and Pawleen, helping them find food during a scarce season."", ""Darla warns the farm about a nearby squirrel raid she overheard."", ""She gets caught in a trap meant for squirrels, prompting a rescue mission by the Yorkies."", ""Darla helps mediate a peace treaty between the chickens and squirrels.""]"
34,https://cdn.midjourney.com/19eeb18d-a9a8-479f-9285-ef7246aadf71/0_1.png,Rusty,"[""curious"", ""adventurous"", ""loyal"", ""playful"", ""innocent""]",hero,"[""Rusty discovers a hidden path in the forest that leads to an unknown part of the farm."", ""Rusty teams up with the Yorkies to uncover the mysterious activities of the Rat Wizard."", ""Rusty finds a secret message in the grass that only he can decode."", ""Rusty helps the Yorkies devise a plan to outsmart the squirrel gangs."", ""Rusty's playful nature leads him to accidentally discover a hidden treasure under the farm.""]"
36,https://cdn.discordapp.com/attachments/1265031838511005797/1347604614547247225/quidbuckingham_Black_chicken_in_the_style_of_Disney_cartoon._f3a0f187-2d31-4cac-aee9-6d85f838dcd9.png?ex=67cc6e19&is=67cb1c99&hm=8f794302ff8fc4a35607ed7e236c58c4a974dd634a1cae2dfcd1e2f7aa73013d&,Fluffernutter,"[""alert"", ""cautious"", ""loyal"", ""observant"", ""resourceful""]",hero,"[""Fluffernutter warns the Yorkies of a sneaky squirrel invasion."", ""Teams up with Birdadette to protect the nest from the Rat Wizard."", ""Discovers hidden tunnels made by the moles."", ""Leads a rescue mission to retrieve stolen eggs."", ""Unites the chicken coop in a defense strategy against the squirrels.""]"
37,https://cdn.discordapp.com/attachments/1265031838511005797/1347608644086136862/quidbuckingham_Black_chicken_in_the_style_of_Disney_cartoon._e4182199-f860-486b-a2fd-dcfb805e7af6.png?ex=67cc71da&is=67cb205a&hm=becb100ba69a41f6d33cd4d4f2f20f1ecfac6316874797921e0a8af0ce82532b&,Speckles,"[""curious"", ""energetic"", ""loyal"", ""clever"", ""brave""]",hero,"[""Speckles discovers a hidden path in the forest and leads the Yorkies on an adventure."", ""Speckles overhears the squirrels plotting and warns the chickens."", ""Speckles finds a mysterious object in the forest and needs help from Pawel and Pawleen to investigate."", ""Speckles helps the Yorkies rescue a trapped turkey in the forest."", ""Speckles organizes a clever strategy to defend the coop from the rat wizard.""]"
